repo,bugid,version,result
ansible,1,buggy,fail
ansible,2,buggy,fail
ansible,3,buggy,fail
ansible,4,buggy,fail
ansible,5,buggy,fail
ansible,6,buggy,fail
ansible,7,buggy,fail
ansible,8,buggy,fail
ansible,9,buggy,fail
ansible,10,buggy,fail
ansible,11,buggy,fail
ansible,12,buggy,fail
ansible,13,buggy,fail
ansible,14,buggy,fail
ansible,15,buggy,fail
ansible,16,buggy,fail
ansible,17,buggy,fail
ansible,18,buggy,fail
black,1,buggy,fail
black,2,buggy,fail
black,3,buggy,fail
black,4,buggy,fail
black,5,buggy,fail
black,6,buggy,fail
black,7,buggy,fail
black,8,buggy,fail
black,9,buggy,fail
black,10,buggy,fail
black,11,buggy,fail
black,12,buggy,fail
black,13,buggy,fail
black,14,buggy,fail
black,15,buggy,fail
black,16,buggy,fail
black,17,buggy,fail
black,18,buggy,fail
black,19,buggy,fail
black,20,buggy,fail
black,21,buggy,pass
black,22,buggy,fail
black,23,buggy,fail
cookiecutter,1,buggy,fail
cookiecutter,2,buggy,fail
cookiecutter,3,buggy,fail
cookiecutter,4,buggy,fail
fastapi,1,buggy,fail
fastapi,2,buggy,fail
fastapi,3,buggy,fail
fastapi,4,buggy,fail
fastapi,5,buggy,fail
fastapi,6,buggy,fail
fastapi,7,buggy,fail
fastapi,8,buggy,fail
fastapi,9,buggy,fail
fastapi,10,buggy,fail
fastapi,11,buggy,fail
fastapi,12,buggy,fail
fastapi,13,buggy,fail
fastapi,14,buggy,fail
fastapi,15,buggy,fail
fastapi,16,buggy,fail
httpie,1,buggy,fail
httpie,2,buggy,fail
httpie,3,buggy,fail
httpie,4,buggy,fail
httpie,5,buggy,fail
keras,1,buggy,fail
keras,2,buggy,fail
keras,3,buggy,fail
keras,4,buggy,fail
keras,5,buggy,fail
keras,6,buggy,fail
keras,7,buggy,fail
keras,8,buggy,fail
keras,9,buggy,fail
keras,10,buggy,fail
keras,11,buggy,fail
keras,12,buggy,fail
keras,13,buggy,fail
keras,14,buggy,error
keras,15,buggy,pass
keras,16,buggy,fail
keras,17,buggy,fail
keras,18,buggy,fail
keras,19,buggy,fail
keras,20,buggy,fail
keras,21,buggy,error
keras,22,buggy,error
keras,23,buggy,fail
keras,24,buggy,fail
keras,25,buggy,fail
keras,26,buggy,fail
keras,27,buggy,fail
keras,28,buggy,fail
keras,29,buggy,fail
keras,30,buggy,fail
keras,31,buggy,fail
keras,32,buggy,fail
keras,33,buggy,fail
keras,34,buggy,fail
keras,35,buggy,fail
keras,36,buggy,fail
keras,37,buggy,fail
keras,38,buggy,fail
keras,39,buggy,fail
keras,40,buggy,fail
keras,41,buggy,fail
keras,42,buggy,fail
keras,43,buggy,fail
keras,44,buggy,fail
keras,45,buggy,fail
luigi,1,buggy,fail
luigi,2,buggy,fail
luigi,3,buggy,fail
luigi,4,buggy,fail
luigi,5,buggy,fail
luigi,6,buggy,fail
luigi,7,buggy,fail
luigi,8,buggy,fail
luigi,9,buggy,fail
luigi,10,buggy,fail
luigi,11,buggy,fail
luigi,12,buggy,fail
luigi,13,buggy,fail
luigi,14,buggy,fail
luigi,15,buggy,fail
luigi,16,buggy,fail
luigi,17,buggy,fail
luigi,18,buggy,fail
luigi,19,buggy,fail
luigi,20,buggy,fail
luigi,21,buggy,fail
luigi,22,buggy,fail
luigi,23,buggy,fail
luigi,24,buggy,fail
luigi,25,buggy,fail
luigi,26,buggy,fail
luigi,27,buggy,fail
luigi,28,buggy,fail
luigi,29,buggy,fail
luigi,30,buggy,fail
luigi,31,buggy,fail
luigi,32,buggy,fail
luigi,33,buggy,fail
matplotlib,1,buggy,fail
matplotlib,2,buggy,fail
matplotlib,3,buggy,fail
matplotlib,4,buggy,fail
matplotlib,5,buggy,fail
matplotlib,6,buggy,fail
matplotlib,7,buggy,fail
matplotlib,8,buggy,fail
matplotlib,9,buggy,fail
matplotlib,10,buggy,fail
matplotlib,11,buggy,fail
matplotlib,12,buggy,fail
matplotlib,13,buggy,fail
matplotlib,14,buggy,fail
