repo,bugid,version,result
PySnooper,1,buggy,error
PySnooper,2,buggy,error
PySnooper,3,buggy,fail
ansible,1,buggy,fail
ansible,2,buggy,fail
ansible,3,buggy,error
ansible,4,buggy,fail
ansible,5,buggy,fail
ansible,6,buggy,fail
ansible,7,buggy,fail
ansible,8,buggy,fail
ansible,9,buggy,error
ansible,10,buggy,fail
ansible,11,buggy,fail
ansible,12,buggy,fail
ansible,13,buggy,fail
ansible,14,buggy,error
ansible,15,buggy,fail
ansible,16,buggy,fail
ansible,17,buggy,fail
ansible,18,buggy,fail
black,1,buggy,fail
black,2,buggy,fail
black,3,buggy,fail
black,4,buggy,fail
black,5,buggy,fail
black,6,buggy,fail
black,7,buggy,fail
black,8,buggy,fail
black,9,buggy,fail
black,10,buggy,fail
black,11,buggy,fail
black,12,buggy,fail
black,13,buggy,fail
black,14,buggy,fail
black,15,buggy,fail
black,16,buggy,fail
black,17,buggy,fail
black,18,buggy,fail
black,19,buggy,fail
black,20,buggy,fail
black,21,buggy,error
black,22,buggy,fail
black,23,buggy,fail
cookiecutter,1,buggy,fail
cookiecutter,2,buggy,fail
cookiecutter,3,buggy,error
cookiecutter,4,buggy,error
fastapi,1,buggy,fail
fastapi,2,buggy,fail
fastapi,3,buggy,fail
fastapi,4,buggy,fail
fastapi,5,buggy,fail
fastapi,6,buggy,fail
fastapi,7,buggy,fail
fastapi,8,buggy,fail
fastapi,9,buggy,fail
fastapi,10,buggy,fail
fastapi,11,buggy,fail
fastapi,12,buggy,fail
fastapi,13,buggy,fail
fastapi,14,buggy,fail
fastapi,15,buggy,fail
fastapi,16,buggy,fail
httpie,1,buggy,error
httpie,2,buggy,error
httpie,3,buggy,error
httpie,4,buggy,error
httpie,5,buggy,fail
keras,1,buggy,fail
keras,2,buggy,fail
keras,3,buggy,fail
keras,4,buggy,fail
keras,5,buggy,fail
keras,6,buggy,fail
keras,7,buggy,fail
keras,8,buggy,fail
keras,9,buggy,fail
keras,10,buggy,error
keras,11,buggy,fail
keras,12,buggy,error
keras,13,buggy,error
keras,14,buggy,error
keras,15,buggy,error
keras,16,buggy,fail
keras,17,buggy,fail
keras,18,buggy,error
keras,19,buggy,fail
keras,20,buggy,fail
keras,21,buggy,error
keras,22,buggy,error
keras,23,buggy,error
keras,24,buggy,error
keras,25,buggy,fail
keras,26,buggy,fail
keras,27,buggy,fail
keras,28,buggy,fail
keras,29,buggy,fail
keras,30,buggy,error
keras,31,buggy,fail
keras,32,buggy,fail
keras,33,buggy,fail
keras,34,buggy,error
keras,35,buggy,fail
keras,36,buggy,fail
keras,37,buggy,fail
keras,38,buggy,error
keras,39,buggy,fail
keras,40,buggy,fail
keras,41,buggy,fail
keras,42,buggy,error
keras,43,buggy,fail
keras,44,buggy,fail
keras,45,buggy,fail
luigi,1,buggy,error
luigi,2,buggy,error
luigi,3,buggy,error
luigi,4,buggy,error
luigi,5,buggy,error
luigi,6,buggy,error
luigi,7,buggy,error
luigi,8,buggy,error
luigi,9,buggy,error
luigi,10,buggy,error
luigi,11,buggy,error
luigi,12,buggy,error
luigi,13,buggy,error
luigi,14,buggy,error
luigi,15,buggy,error
luigi,16,buggy,error
luigi,17,buggy,error
luigi,18,buggy,error
luigi,19,buggy,error
luigi,20,buggy,error
luigi,21,buggy,error
luigi,22,buggy,error
luigi,23,buggy,error
luigi,24,buggy,error
luigi,25,buggy,error
luigi,26,buggy,error
luigi,27,buggy,error
luigi,28,buggy,error
luigi,29,buggy,error
luigi,30,buggy,error
luigi,31,buggy,error
luigi,32,buggy,error
luigi,33,buggy,error
matplotlib,1,buggy,fail
pandas,1,buggy,fail
pandas,2,buggy,fail
pandas,3,buggy,error
pandas,4,buggy,fail
pandas,5,buggy,error
pandas,6,buggy,fail
pandas,7,buggy,fail
pandas,8,buggy,error
pandas,9,buggy,fail
pandas,10,buggy,fail
pandas,11,buggy,fail
pandas,12,buggy,fail
pandas,13,buggy,fail
pandas,14,buggy,fail
pandas,15,buggy,error
pandas,16,buggy,fail
pandas,17,buggy,error
pandas,18,buggy,fail
pandas,19,buggy,fail
pandas,20,buggy,fail
pandas,21,buggy,error
pandas,22,buggy,error
pandas,23,buggy,fail
pandas,24,buggy,fail
pandas,25,buggy,fail
pandas,26,buggy,error
pandas,27,buggy,fail
pandas,28,buggy,error
pandas,29,buggy,error
pandas,30,buggy,fail
pandas,31,buggy,fail
pandas,32,buggy,fail
pandas,33,buggy,fail
pandas,34,buggy,fail
pandas,35,buggy,fail
pandas,36,buggy,fail
pandas,37,buggy,fail
pandas,38,buggy,fail
pandas,39,buggy,error
pandas,40,buggy,error
pandas,41,buggy,fail
pandas,42,buggy,fail
pandas,43,buggy,fail
pandas,44,buggy,fail
