repo,bugid,version,result
PySnooper,1,fixed,error
PySnooper,2,fixed,error
PySnooper,3,fixed,pass
ansible,1,fixed,pass
ansible,2,fixed,pass
ansible,3,fixed,error
ansible,4,fixed,pass
ansible,5,fixed,pass
ansible,6,fixed,pass
ansible,7,fixed,pass
ansible,8,fixed,pass
ansible,9,fixed,error
ansible,10,fixed,pass
ansible,11,fixed,pass
ansible,12,fixed,pass
ansible,13,fixed,pass
ansible,14,fixed,error
ansible,15,fixed,pass
ansible,16,fixed,pass
ansible,17,fixed,pass
ansible,18,fixed,pass
black,1,fixed,pass
black,2,fixed,pass
black,3,fixed,pass
black,4,fixed,pass
black,5,fixed,pass
black,6,fixed,pass
black,7,fixed,pass
black,8,fixed,pass
black,9,fixed,pass
black,10,fixed,pass
black,11,fixed,pass
black,12,fixed,pass
black,13,fixed,pass
black,14,fixed,pass
black,15,fixed,pass
black,16,fixed,pass
black,17,fixed,pass
black,18,fixed,pass
black,19,fixed,pass
black,20,fixed,pass
black,21,fixed,error
black,22,fixed,pass
black,23,fixed,pass
cookiecutter,1,fixed,pass
cookiecutter,2,fixed,pass
cookiecutter,3,fixed,error
cookiecutter,4,fixed,error
fastapi,1,fixed,pass
fastapi,2,fixed,pass
fastapi,3,fixed,pass
fastapi,4,fixed,pass
fastapi,5,fixed,pass
fastapi,6,fixed,pass
fastapi,7,fixed,pass
fastapi,8,fixed,pass
fastapi,9,fixed,pass
fastapi,10,fixed,pass
fastapi,11,fixed,pass
fastapi,12,fixed,pass
fastapi,13,fixed,pass
fastapi,14,fixed,pass
fastapi,15,fixed,pass
fastapi,16,fixed,pass
httpie,1,fixed,error
httpie,2,fixed,error
httpie,3,fixed,error
httpie,4,fixed,error
httpie,5,fixed,pass
keras,1,fixed,pass
keras,2,fixed,pass
keras,3,fixed,pass
keras,4,fixed,pass
keras,5,fixed,pass
keras,6,fixed,pass
keras,7,fixed,pass
keras,8,fixed,pass
keras,9,fixed,pass
keras,10,fixed,error
keras,11,fixed,pass
keras,12,fixed,error
keras,13,fixed,error
keras,14,fixed,error
keras,15,fixed,error
keras,16,fixed,pass
keras,17,fixed,pass
keras,18,fixed,error
keras,19,fixed,pass
keras,20,fixed,pass
keras,21,fixed,error
keras,22,fixed,error
keras,23,fixed,error
keras,24,fixed,error
keras,25,fixed,pass
keras,26,fixed,pass
keras,27,fixed,pass
keras,28,fixed,pass
keras,29,fixed,pass
keras,30,fixed,error
keras,31,fixed,pass
keras,32,fixed,pass
keras,33,fixed,pass
keras,34,fixed,error
keras,35,fixed,pass
keras,36,fixed,pass
keras,37,fixed,pass
keras,38,fixed,error
keras,39,fixed,pass
keras,40,fixed,pass
keras,41,fixed,pass
keras,42,fixed,error
keras,43,fixed,pass
keras,44,fixed,pass
keras,45,fixed,pass
luigi,1,fixed,error
luigi,2,fixed,error
luigi,3,fixed,error
luigi,4,fixed,error
luigi,5,fixed,error
luigi,6,fixed,error
luigi,7,fixed,error
luigi,8,fixed,error
luigi,9,fixed,error
luigi,10,fixed,error
luigi,11,fixed,error
luigi,12,fixed,error
luigi,13,fixed,error
luigi,14,fixed,error
luigi,15,fixed,error
luigi,16,fixed,error
luigi,17,fixed,error
luigi,18,fixed,error
luigi,19,fixed,error
luigi,20,fixed,error
luigi,21,fixed,error
luigi,22,fixed,error
luigi,23,fixed,error
luigi,24,fixed,error
luigi,25,fixed,error
luigi,26,fixed,error
luigi,27,fixed,error
luigi,28,fixed,error
luigi,29,fixed,error
luigi,30,fixed,error
luigi,31,fixed,error
luigi,32,fixed,error
luigi,33,fixed,error
matplotlib,1,fixed,pass
pandas,1,fixed,pass
pandas,2,fixed,pass
pandas,3,fixed,error
pandas,4,fixed,pass
pandas,5,fixed,error
pandas,6,fixed,pass
pandas,7,fixed,pass
pandas,8,fixed,error
pandas,9,fixed,pass
pandas,10,fixed,pass
pandas,11,fixed,pass
pandas,12,fixed,pass
pandas,13,fixed,pass
pandas,14,fixed,pass
pandas,15,fixed,error
pandas,16,fixed,pass
pandas,17,fixed,error
pandas,18,fixed,pass
pandas,19,fixed,pass
pandas,20,fixed,pass
pandas,21,fixed,error
pandas,22,fixed,error
pandas,23,fixed,pass
pandas,24,fixed,pass
pandas,25,fixed,pass
pandas,26,fixed,error
pandas,27,fixed,pass
pandas,28,fixed,error
pandas,29,fixed,error
pandas,30,fixed,pass
pandas,31,fixed,pass
pandas,32,fixed,pass
pandas,33,fixed,pass
pandas,34,fixed,pass
pandas,35,fixed,pass
pandas,36,fixed,pass
pandas,37,fixed,pass
pandas,38,fixed,pass
pandas,39,fixed,error
pandas,40,fixed,error
pandas,41,fixed,pass
pandas,42,fixed,pass
pandas,43,fixed,pass
pandas,44,fixed,pass
pandas,45,fixed,pass
pandas,46,fixed,pass
pandas,47,fixed,pass
pandas,48,fixed,pass
pandas,49,fixed,pass
pandas,50,fixed,pass
pandas,51,fixed,pass
pandas,52,fixed,pass
pandas,53,fixed,pass
pandas,54,fixed,pass
pandas,55,fixed,pass
pandas,56,fixed,pass
pandas,57,fixed,pass
pandas,58,fixed,pass
pandas,59,fixed,pass
pandas,60,fixed,error
pandas,61,fixed,error
pandas,62,fixed,error
pandas,63,fixed,pass
pandas,64,fixed,pass
pandas,65,fixed,error
pandas,66,fixed,pass
pandas,67,fixed,pass
pandas,68,fixed,pass
pandas,69,fixed,pass
pandas,70,fixed,pass
pandas,71,fixed,pass
pandas,72,fixed,pass
pandas,73,fixed,pass
pandas,74,fixed,error
pandas,75,fixed,pass
youtube-dl,1,fixed,pass
youtube-dl,2,fixed,pass
youtube-dl,3,fixed,pass
youtube-dl,4,fixed,pass
youtube-dl,5,fixed,pass
youtube-dl,6,fixed,pass
youtube-dl,7,fixed,pass
youtube-dl,8,fixed,pass
youtube-dl,9,fixed,pass
youtube-dl,10,fixed,pass
youtube-dl,11,fixed,pass
youtube-dl,12,fixed,pass
youtube-dl,13,fixed,pass
youtube-dl,14,fixed,pass
pandas,76,fixed,pass
pandas,77,fixed,pass
pandas,78,fixed,pass
pandas,79,fixed,pass
pandas,80,fixed,pass
pandas,81,fixed,pass
pandas,82,fixed,pass
pandas,83,fixed,error
pandas,84,fixed,pass
pandas,85,fixed,error
pandas,86,fixed,pass
pandas,87,fixed,pass
matplotlib,2,fixed,error
matplotlib,3,fixed,error
matplotlib,4,fixed,error
matplotlib,5,fixed,error
matplotlib,6,fixed,error
matplotlib,7,fixed,error
matplotlib,8,fixed,error
matplotlib,9,fixed,error
matplotlib,10,fixed,error
matplotlib,11,fixed,error
matplotlib,12,fixed,error
matplotlib,13,fixed,error
matplotlib,14,fixed,error
matplotlib,15,fixed,error
matplotlib,16,fixed,error
matplotlib,17,fixed,error
matplotlib,18,fixed,error
matplotlib,19,fixed,error
matplotlib,20,fixed,error
matplotlib,21,fixed,error
matplotlib,22,fixed,error
matplotlib,23,fixed,error
matplotlib,24,fixed,error
matplotlib,25,fixed,error
matplotlib,26,fixed,error
matplotlib,27,fixed,error
matplotlib,28,fixed,error
matplotlib,29,fixed,error
matplotlib,30,fixed,error
pandas,88,fixed,pass
pandas,89,fixed,pass
pandas,90,fixed,error
pandas,91,fixed,pass
pandas,92,fixed,pass
pandas,93,fixed,error
pandas,94,fixed,pass
pandas,95,fixed,error
pandas,96,fixed,error
pandas,97,fixed,pass
pandas,98,fixed,pass
pandas,99,fixed,error
pandas,100,fixed,pass
pandas,101,fixed,pass
