repo,bugid,version,result
youtube-dl,1,buggy,fail
PySnooper,1,buggy,pass
youtube-dl,1,fixed,pass
PySnooper,1,fixed,pass
tornado,1,buggy,fail
youtube-dl,2,buggy,fail
PySnooper,2,buggy,error
youtube-dl,2,fixed,pass
tornado,1,fixed,pass
youtube-dl,3,buggy,fail
PySnooper,2,fixed,error
youtube-dl,3,fixed,pass
tornado,2,buggy,fail
PySnooper,3,buggy,fail
youtube-dl,4,buggy,fail
youtube-dl,4,fixed,pass
PySnooper,3,fixed,pass
tornado,2,fixed,pass
youtube-dl,5,buggy,fail
youtube-dl,5,fixed,pass
tornado,3,buggy,fail
youtube-dl,6,buggy,fail
tqdm,1,buggy,fail
youtube-dl,6,fixed,pass
tornado,3,fixed,pass
youtube-dl,7,buggy,fail
tornado,4,buggy,fail
youtube-dl,7,fixed,pass
youtube-dl,8,buggy,fail
tornado,4,fixed,pass
youtube-dl,8,fixed,pass
youtube-dl,9,buggy,fail
tornado,5,buggy,fail
youtube-dl,9,fixed,pass
tornado,5,fixed,pass
tqdm,1,fixed,pass
tornado,6,buggy,fail
httpie,1,buggy,fail
ansible,1,buggy,fail
tornado,6,fixed,pass
ansible,1,fixed,pass
tornado,7,buggy,fail
cookiecutter,1,buggy,fail
tqdm,2,buggy,fail
tornado,7,fixed,pass
youtube-dl,10,buggy,fail
tornado,8,buggy,fail
thefuck,1,buggy,fail
youtube-dl,10,fixed,pass
tornado,8,fixed,pass
tornado,9,buggy,fail
tornado,9,fixed,pass
ansible,2,buggy,fail
tornado,10,buggy,fail
httpie,1,fixed,pass
youtube-dl,11,buggy,fail
keras,1,buggy,fail
tornado,10,fixed,pass
matplotlib,1,buggy,fail
youtube-dl,11,fixed,pass
tqdm,2,fixed,pass
youtube-dl,12,buggy,fail
tornado,11,buggy,fail
matplotlib,1,fixed,pass
youtube-dl,12,fixed,pass
tornado,11,fixed,pass
youtube-dl,13,buggy,fail
matplotlib,2,buggy,fail
youtube-dl,13,fixed,pass
ansible,2,fixed,pass
tornado,12,buggy,fail
matplotlib,2,fixed,pass
youtube-dl,14,buggy,fail
youtube-dl,14,fixed,pass
matplotlib,3,buggy,fail
tornado,12,fixed,pass
youtube-dl,15,buggy,fail
matplotlib,3,fixed,pass
tornado,13,buggy,fail
youtube-dl,15,fixed,pass
matplotlib,4,buggy,fail
youtube-dl,16,buggy,fail
tornado,13,fixed,pass
youtube-dl,16,fixed,pass
matplotlib,4,fixed,pass
tqdm,3,buggy,fail
tornado,14,buggy,fail
cookiecutter,1,fixed,pass
youtube-dl,17,buggy,fail
scrapy,1,buggy,fail
matplotlib,5,buggy,fail
ansible,3,buggy,fail
youtube-dl,17,fixed,pass
tornado,14,fixed,pass
youtube-dl,18,buggy,fail
